date,adj close,close,high,low,open,volume,rsi,atr,adx,macd,ema_short,ema_long,vwap,fast_k,fast_d,slow_k,slow_d,garman_klass_vol,bb_low,bb_mid,bb_high,dollar_volume
2009-01-05,25.857223510742188,36.59000015258789,36.59000015258789,30.56999969482422,35.16999816894531,26338,62.20752444458858,0.9257259716072503,15.301982280169959,0.17350792828625572,32.955290612317576,33.76777139078082,33.579999923706055,100.0,71.27972211767765,71.27972211767765,57.83726695310935,-0.020395029385512933,3.1249731570936237,3.19090496349004,3.256836769886456,0.6810275528259278
2009-01-06,25.843090057373047,36.56999969482422,36.59000015258789,33.93000030517578,36.59000015258789,24377,62.11562102336474,1.0506915334272238,16.895699532321196,0.35000248072364926,33.29954862017535,33.877662696821744,34.38751973913088,99.66776650759422,83.8178117258477,83.8178117258477,71.44122437623008,-0.04386142438744425,3.121242345085915,3.197719930435515,3.274197515785115,0.6299770063285828
2009-01-07,22.761985778808597,32.209999084472656,34.869998931884766,32.209999084472656,34.70000076293945,16672,46.38892290903,1.288998868463214,16.778021257054853,0.23850695991904658,33.19578199772747,33.812264123788445,34.17783737270361,27.242512706679584,75.63675973809127,75.63675973809127,76.9114311938722,-0.06552987923923798,3.120911598404848,3.197586272875713,3.274260947346578,0.37948782690429694
2009-01-08,21.31330299377441,30.15999984741211,33.810001373291016,30.15999984741211,33.599998474121094,31357,41.22329924845261,1.4589185143980912,15.866844686104796,0.03287045267716948,32.90665988817363,33.66903807373447,33.48148334251369,0.0,42.303426404757936,42.303426404757936,67.2526659562323,-0.07351560615535532,3.106046741142896,3.1920316705048775,3.278016599866859,0.6683212419757841
2009-01-09,22.769052505493164,32.220001220703125,32.52000045776367,32.02000045776367,32.43000030517578,18391,47.41691533084772,1.5237336924886375,15.023269457975857,-0.012487196821691526,32.84126382460501,33.61221309910579,33.291272203798215,32.03734487590666,19.75995252752875,19.75995252752875,45.90004622345932,-0.0482017980620642,3.103815618179479,3.1896513051866937,3.2754869921939083,0.41874564462852476
2009-01-12,24.16120147705078,34.189998626708984,34.189998626708984,31.600000381469727,31.6299991607666,13977,52.45976323616362,1.6003920397010656,14.667741305933935,0.06317310625156125,32.96971475813872,33.63487135509023,33.249028141288065,62.674939160624255,31.570761345510306,31.570761345510306,31.211380092598997,-0.02492424714830272,3.1054819268418243,3.1922895518254686,3.279097176809113,0.33770111304473877
2009-01-13,23.07999038696289,32.65999984741211,34.189998626708984,31.65999984741211,34.189998626708984,11554,48.645801357087784,1.6671943566668848,14.338452765120504,0.03548074271218837,32.94021809997428,33.596641099887165,33.22278621988111,38.88024698828775,44.530843674939554,44.530843674939554,31.953852515992867,-0.056697601429495634,3.104395347786454,3.1911435794089327,3.2778918110314113,0.26666620893096926
2009-01-14,24.57107734680176,34.77000045776367,34.77000045776367,32.4900016784668,32.65999984741211,13520,53.54833091199732,1.7112119672265043,14.376764082163925,0.13232721545096382,33.11448308643042,33.64265519235291,33.25803614463829,71.69518493865041,57.75012369585414,57.75012369585414,44.617242905434665,-0.02898462976779544,3.103596965163253,3.192872739681783,3.282148514200313,0.33220096572875984
2009-01-15,21.906911849975582,31.0,34.77000045776367,30.950000762939453,34.77000045776367,29872,45.397357762360215,1.862624989379564,13.348513352671274,-0.005829943437280605,32.913103744865616,33.539021655397896,33.19413070934277,13.063765361126634,41.21306576268827,41.21306576268827,47.83134437782732,-0.07566297629350932,3.096184998240341,3.188730198400281,3.281275398560221,0.6544032707824706
2009-01-16,21.20023536682129,30.0,31.38999938964844,30.0,31.200000762939453,14165,43.546583522773815,1.8287026418053884,12.973674342309602,-0.1703793464254204,32.63566529297365,33.40023649244112,33.017326891496396,0.0,28.252983433259015,28.252983433259015,42.40539096393381,-0.05665172493157234,3.0837246594742567,3.1828083506372122,3.281892041800168,0.30030133397102354
